loss,dice_score,val_loss,val_dice_score,lr
0.04522852227091789,0.0026714669074863195,0.010899576358497143,0.0016521962825208902,0.001
0.013210156001150608,0.0022741490975022316,0.009567917324602604,0.0018573481356725097,0.001
0.007534332107752562,0.002186394762247801,0.008551603183150291,0.002095984760671854,0.001
0.007111433427780867,0.0024319002404809,0.0069505441933870316,0.002463101875036955,0.001
0.005294786766171455,0.0020813788287341595,0.005709674675017595,0.0032284401822835207,0.001
0.0038040350191295147,0.002457408467307687,0.004841698333621025,0.00445165392011404,0.001
0.003979663364589214,0.0032526266295462847,0.004531515296548605,0.005867961794137955,0.001
0.0044416883029043674,0.005347507540136576,0.004331186879426241,0.009405686520040035,0.001
0.0039157806895673275,0.006033427082002163,0.00448205741122365,0.011088404804468155,0.001
0.003924052231013775,0.006424169987440109,0.00414976617321372,0.011450360529124737,0.001
0.003503624815493822,0.007353557739406824,0.004157487768679857,0.011028099805116653,0.001
0.00391798373311758,0.008477666415274143,0.0038954722695052624,0.010849951766431332,0.001
0.0038858859334141016,0.008498037233948708,0.0038150642067193985,0.00984876323491335,0.001
0.0035659740678966045,0.008002499118447304,0.0038025316316634417,0.009904156439006329,0.00020000001
0.0036356488708406687,0.00853657815605402,0.0037859987933188677,0.010098274797201157,0.00020000001
0.0034059076569974422,0.009585918858647346,0.0037766345776617527,0.010417918674647808,0.00020000001
0.003815088653936982,0.008110005408525467,0.003797180950641632,0.010577321983873844,0.00020000001
0.0032642746809870005,0.007677738554775715,0.0037972377613186836,0.01057347934693098,4.0000003e-05
0.0036355024203658104,0.0086964787915349,0.003769224276766181,0.010565971955657005,4.0000003e-05
0.0033938700798898935,0.007771150209009647,0.003749395487830043,0.010537383146584034,4.0000003e-05
0.004414772614836693,0.00869094580411911,0.003734937869012356,0.010523946024477482,4.0000003e-05
0.003156938822939992,0.007639019750058651,0.0037337138783186674,0.010524454526603222,8.000001e-06
0.004438645206391811,0.00930593442171812,0.0037319750990718603,0.010525955818593502,8.000001e-06
0.0035257148556411266,0.007185931317508221,0.0037309557665139437,0.010530778206884861,8.000001e-06
0.0036995576228946447,0.008899831213057041,0.003730431431904435,0.01053659338504076,8.000001e-06
